indexszám;fix számok;kombinációs számok;Alapjátékok száma
008;0;8;8
009;0;9;36
010;0;10;120
011;0;11;330
107;1;7;7
108;1;8;28
109;1;9;84
110;1;10;210
206;2;6;6
207;2;7;21
208;2;8;56
209;2;9;126
210;2;10;252
305;3;5;5
306;3;6;15
307;3;7;35
308;3;8;70
309;3;9;126
310;3;10;210
311;3;11;330
404;4;4;4
405;4;5;10
406;4;6;20
407;4;7;35
408;4;8;56
409;4;9;84
410;4;10;120
411;4;11;165
412;4;12;220
413;4;13;286
414;4;14;364
503;5;3;3
504;5;4;6
505;5;5;10
506;5;6;15
507;5;7;21
508;5;8;28
509;5;9;36
510;5;10;45
511;5;11;55
512;5;12;66
513;5;13;78
514;5;14;91
515;5;15;105
516;5;16;120
517;5;17;136
518;5;18;153
519;5;19;171
520;5;20;190
530;5;30;435
608;6;8;8
609;6;9;9
610;6;10;10
611;6;11;11
612;6;12;12
613;6;13;13
614;6;14;14
615;6;15;15
620;6;20;20
629;6;29;29
